State_city,Mapping
"OK,PONCA CITY",456
"OK,POTEAU",457
"OK,SHAWNEE",458
"OK,TULSA",459
"OK,WOODWARD",460
"OR,BEND",461
"OR,EUGENE",462
"OR,KLAMATH FALLS",463
"OR,MEDFORD",464
"OR,PENDLETON",465
"OR,PORTLAND",466
"OR,SALEM",467
"OR,VALE",468
"PA,ALLENTOWN",469
"PA,ALTOONA",470
"PA,BEDFORD",471
"PA,BRADFORD",472
"PA,BUTLER",473
"PA,CHAMBERSBURG",474
"PA,DOYLESTOWN",475
"PA,DUBOIS",476
"PA,ERIE",477
"PA,GREENSBURG",478
"PA,HARRISBURG",479
"PA,HAZLETON",480
"PA,INDIANA",481
"PA,JOHNSTOWN",482
"PA,KITTANNING",483
"PA,LANCASTER",484
"PA,LEHIGH VALLEY",485
"PA,MONTROSE",486
"PA,NEW CASTLE",487
"PA,NORRISTOWN",488
"PA,OIL CITY",489
"PA,PHILADELPHIA",490
"PA,PITTSBURGH",491
"PA,POTTSVILLE",492
"PA,READING",493
"PA,SCRANTON",494
"PA,STATE COLLEGE",495
"PA,STROUDSBURG",496
"PA,SUNBURY",497
"PA,UNIONTOWN",498
"PA,WASHINGTON",499
"PA,WELLSBORO",500
"PA,WESTCHESTER",501
"PA,WILKES-BARRE",502
"PA,WILLIAMSPORT",503
"PA,YORK",504
"PR,SAN JUAN",505
"RI,NEWPORT",506
"RI,PROVIDENCE",507
"SC,AIKEN",508
"SC,BEAUFORT",509
"SC,CHARLESTON",510
"SC,COLUMBIA",511
"SC,FLORENCE",512
"SC,GREENVILLE",513
"SC,ROCK HILL",514
"SC,SPARTANBURG",515
"SD,ABERDEEN",516
"SD,MITCHELL",517
"SD,MOBRIDGE",518
"SD,PIERRE",519
"SD,RAPID CITY",520
"SD,SIOUX FALLS",521
"SD,WATERTOWN",522
"TN,CHATTANOOGA",523
"TN,COLUMBIA",524
"TN,COOKEVILLE",525
"TN,JACKSON",526
"TN,JOHNSON CITY",527
"TN,KNOXVILLE",528
"TN,MCKENZIE",529
