State_city,Mapping
"VA,PETERSBURG",597.0
"VA,PORTSMOUTH",598.0
"VA,PULASKI",599.0
"VA,RICHMOND",600.0
"VA,ROANOKE",601.0
"VA,STAUNTON",602.0
"VA,WINCHESTER",603.0
"WA,CLARKSTON",604.0
"WA,EVERETT",605.0
"WA,OLYMPIA",606.0
"WA,RICHLAND",607.0
"WA,SEATTLE",608.0
"WA,SPOKANE",609.0
"WA,TACOMA",610.0
"WA,VANCOUVER",611.0
"WA,WENATCHEE",612.0
"WA,YAKIMA",613.0
"WV,BECKLEY",614.0
"WV,BLUEFIELD",615.0
"WV,BUCKHANNON",616.0
"WV,CHARLESTON",617.0
"WV,CLARKSBURG",618.0
"WV,GASSAWAY",619.0
"WV,HUNTINGTON",620.0
"WV,LEWISBURG",621.0
"WV,MARTINSBURG",622.0
"WV,MORGANTOWN",623.0
"WV,PARKERSBURG",624.0
"WV,PETERSBURG",625.0
"WV,ROMNEY",626.0
"WV,WHEELING",627.0
"WI,BELOIT",628.0
"WI,EAU CLAIRE",629.0
"WI,GREEN BAY",630.0
"WI,KENOSHA",631.0
"WI,LA CROSSE",632.0
"WI,LANCASTER",633.0
"WI,MADISON",634.0
"WI,MILWAUKEE",635.0
"WI,NEW RICHMOND",636.0
"WI,OSHKOSH",637.0
"WI,PORTAGE",638.0
"WI,RACINE",639.0
"WI,RHINELANDER",640.0
"WI,SUPERIOR",641.0
"WI,WAUSAU",642.0
"WY,CASPER",643.0
"WY,CHEYENNE",644.0
"WY,NEWCASTLE",645.0
"WY,RAWLINS",646.0
"WY,RIVERTON",647.0
"WY,ROCK SPRINGS",648.0
"WY,SHERIDAN",649.0
"WY,WHEATLAND",650.0
"WY,WORLAND",651.0
"WY,YELLOWSTONE NAT'L PA",652.0
