state_city,mean_value
455,154.69067716514732
456,157.84947544840912
457,152.34084883896708
458,152.76670720806578
459,153.5044325299542
460,155.90419647845204
461,154.7561707273791
462,166.37132094197136
463,167.42649261579112
464,166.6947544183662
465,167.30732952566234
466,164.95061278746493
467,170.20432523381686
468,169.4931449763061
469,159.79986171450355
470,167.49303768016875
471,164.2550977660057
472,161.98758703639197
473,162.1477587102117
474,161.63853124240052
475,163.85840248703573
476,169.01265141407436
477,163.69080592051213
478,164.26359562008292
479,164.78471149991128
480,166.4262351050615
481,159.649561285319
482,164.81301622094134
483,166.01589175742203
484,162.49529089905292
485,162.83166428961084
486,164.64011922523315
487,159.8272866072074
488,162.7101406844606
489,170.99239390334475
490,159.66891750849499
491,181.06627802351642
492,170.02765141407434
493,159.5440033454048
494,166.54850978317307
495,164.36850978317307
496,165.56325227244344
497,162.25398188617737
498,158.729239396907
499,165.68640677888123
500,166.66228660720742
501,159.85597759433188
502,170.73859562008295
503,162.32265141407436
504,160.3293681522718
505,163.73539819519024
506,160.31187888188555
507,170.88288746557652
508,173.59280162866662
509,154.47501192909584
510,155.1706771651473
511,158.46505484755076
512,158.0341750192246
513,157.05698617802284
514,157.2643681522718
515,155.28984025527606
516,157.12359562008294
517,156.58127802351643
518,150.28303768016877
519,150.99747974025462
520,159.12619218660654
521,156.04752265870957
522,160.56232952566234
523,152.944561285319
524,156.4534883239456
525,150.52747974025462
526,148.5980162209413
527,154.30760849561943
528,152.5199690106409
529,156.46308059862372
530,148.1926299548469
531,158.98190034111298
532,159.00814497630614
533,153.24694325956793
534,155.73730806643488
535,156.08906772308723
536,153.91192180034045
537,150.59413210076963
538,151.92170720806578
539,151.59175012652074
540,155.32104197201426
541,155.6178445471216
542,152.07061278746494
543,151.79576300205719
544,150.75941107072674
545,155.61591321664946
546,155.15293038403144
547,153.0482951908984
548,150.8687672939027
549,151.1314282381087
550,155.86018360291558
551,151.87587029819454
552,153.95209347416022
553,150.74074154282974
554,155.10024798059797
555,152.01453982609152
556,151.9297544183662
557,151.27209347416022
558,156.10565570591984
559,149.83973295913876
560,151.53106343124176
561,155.2515569934735
562,153.1253767359628
563,153.8748187960486
564,154.5677587102117
565,151.21644969733617
566,154.4200763067782
567,153.71754411793702
568,152.22185742265805
569,152.88415355999712
570,159.0246256630014
571,158.2479733024864
