,Unnamed: 0,zpid,price,bedrooms,bathrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,half_bathroom,lot_area,home_type
25,25,89360269,400000,5,4.0,2888,36.056152,"""5815 E 75th Pl""","""74136""",https://www.zillow.com/homedetails/5815-E-75th-Pl-Tulsa-OK-74136/89360269_zpid/,-95.90992,0.0,6969.6, SingleFamily
26,26,22229043,505000,5,5.0,3722,36.014874,"""10210 S Braden Ave""","""74137""",https://www.zillow.com/homedetails/10210-S-Braden-Ave-Tulsa-OK-74137/22229043_zpid/,-95.91963,2.0,12588.839999999998, SingleFamily
27,27,81439210,1080000,5,4.0,6111,36.1118,"""3462 S Atlanta Pl""","""74105""",https://www.zillow.com/homedetails/3462-S-Atlanta-Pl-Tulsa-OK-74105/81439210_zpid/,-95.95591,1.0,45738.0, SingleFamily
28,28,295335045,559340,5,4.0,3395,36.101448,"""16823 E 43rd St S""","""74134""",https://www.zillow.com/homedetails/16823-E-43rd-St-S-Tulsa-OK-74134/295335045_zpid/,-95.78941,1.0,8145.72, SingleFamily
29,29,22202362,301139,5,3.0,2499,36.00963,"""8506 E 106th St S""","""74133""",https://www.zillow.com/homedetails/8506-E-106th-St-S-Tulsa-OK-74133/22202362_zpid/,-95.916985,1.0,10280.16, SingleFamily
30,30,2057932987,250000,5,3.0,2563,36.08884,"""5209 S 76th East Ave""","""74145""",https://www.zillow.com/homedetails/5209-S-76th-East-Ave-Tulsa-OK-74145/2057932987_zpid/,-95.89081,1.0,10628.0, SingleFamily
31,31,22120501,525000,5,4.0,3860,36.080482,"""2949 E 57th St S""","""74105""",https://www.zillow.com/homedetails/2949-E-57th-St-S-Tulsa-OK-74105/22120501_zpid/,-95.9439,1.0,30796.92, SingleFamily
32,32,22225645,720000,5,5.0,6271,36.02101,"""9812 S Knoxville Ave""","""74137""",https://www.zillow.com/homedetails/9812-S-Knoxville-Ave-Tulsa-OK-74137/22225645_zpid/,-95.93723,1.0,53709.48, SingleFamily
33,33,312772800,1375000,5,6.0,6661,36.06341,"""3307 W 68th St""","""74132""",https://www.zillow.com/homedetails/3307-W-68th-St-Tulsa-OK-74132/312772800_zpid/,-96.030785,1.0,, SingleFamily
34,34,22225367,495000,5,5.0,4044,36.013084,"""10407 S 66th Ave E""","""74133""",https://www.zillow.com/homedetails/10407-S-66th-Ave-E-Tulsa-OK-74133/22225367_zpid/,-95.90307,2.0,24350.04, SingleFamily
