,zpid,price,bedrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,full_bathroom,half_bathroom,quarter_bathroom,three_quarter_bathroom,year_built,lot_area,stories,home_type,full_address
1098,22156294,100000,3,1170,36.16821,835 N Delaware Pl,74110,https://www.zillow.com/homedetails/835-N-Delaware-Pl-Tulsa-OK-74110/22156294_zpid/,-95.94734,1.0,0.0,0.0,0.0,1930.0,17772.48,1.0,SingleFamily,"835 N Delaware Pl,Tulsa,OK"
1099,22173097,82500,3,1152,36.23943,608 E 59th Pl N,74126,https://www.zillow.com/homedetails/608-E-59th-Pl-N-Tulsa-OK-74126/22173097_zpid/,-95.98569,1.0,0.0,0.0,0.0,1964.0,13939.2,1.0,SingleFamily,"608 E 59th Pl N,Tulsa,OK"
1100,22176891,125000,3,1176,36.15999,20 S 74th Ave E,74112,https://www.zillow.com/homedetails/20-S-74th-Ave-E-Tulsa-OK-74112/22176891_zpid/,-95.89485,1.0,0.0,0.0,0.0,1953.0,96964.56,1.0,SingleFamily,"20 S 74th Ave E,Tulsa,OK"
1101,22187390,142000,3,1352,36.153725,5330 E 5th St,74112,https://www.zillow.com/homedetails/5330-E-5th-St-Tulsa-OK-74112/22187390_zpid/,-95.91675,1.0,0.0,0.0,0.0,1950.0,15115.32,1.0,SingleFamily,"5330 E 5th St,Tulsa,OK"
1102,22193322,85000,3,912,36.2425,332 W 61st Pl N,74126,https://www.zillow.com/homedetails/332-W-61st-Pl-N-Tulsa-OK-74126/22193322_zpid/,-96.000755,1.0,0.0,0.0,0.0,1968.0,8581.32,1.0,SingleFamily,"332 W 61st Pl N,Tulsa,OK"
1103,22231770,193000,3,1376,36.11829,12637 E 31st Pl,74146,https://www.zillow.com/homedetails/12637-E-31st-Pl-Tulsa-OK-74146/22231770_zpid/,-95.83553,2.0,0.0,0.0,0.0,1972.0,7013.16,1.0,SingleFamily,"12637 E 31st Pl,Tulsa,OK"
1104,22123670,168000,3,996,36.098186,242 E 45th Pl,74105,https://www.zillow.com/homedetails/242-E-45th-Pl-Tulsa-OK-74105/22123670_zpid/,-95.98233,1.0,0.0,0.0,0.0,1949.0,8537.76,1.0,SingleFamily,"242 E 45th Pl,Tulsa,OK"
1105,22129160,90000,3,924,36.1737,6904 E Newton Pl,74115,https://www.zillow.com/homedetails/6904-E-Newton-Pl-Tulsa-OK-74115/22129160_zpid/,-95.89993,1.0,0.0,0.0,0.0,1951.0,13982.76,1.0,SingleFamily,"6904 E Newton Pl,Tulsa,OK"
1106,22166316,120000,3,990,36.152264,6522 E 6th St,74112,https://www.zillow.com/homedetails/6522-E-6th-St-Tulsa-OK-74112/22166316_zpid/,-95.90361,1.0,0.0,0.0,0.0,1955.0,7884.36,1.0,SingleFamily,"6522 E 6th St,Tulsa,OK"
1107,22176435,192000,3,1372,36.104633,3630 E 40th Pl,74135,https://www.zillow.com/homedetails/3630-E-40th-Pl-Tulsa-OK-74135/22176435_zpid/,-95.93599,2.0,0.0,0.0,0.0,1956.0,8842.68,1.0,SingleFamily,"3630 E 40th Pl,Tulsa,OK"
1108,22176919,167400,3,1109,36.159107,7433 E 2nd St S,74112,https://www.zillow.com/homedetails/7433-E-2nd-St-S-Tulsa-OK-74112/22176919_zpid/,-95.893166,1.0,0.0,0.0,0.0,1953.0,9104.04,1.0,SingleFamily,"7433 E 2nd St S,Tulsa,OK"
1109,22231202,199000,3,1449,36.118397,3110 S 117th East Ave,74146,https://www.zillow.com/homedetails/3110-S-117th-East-Ave-Tulsa-OK-74146/22231202_zpid/,-95.84734,2.0,0.0,0.0,0.0,1973.0,11717.639999999998,1.0,SingleFamily,"3110 S 117th East Ave,Tulsa,OK"
1110,22234885,189000,3,1054,36.109447,11945 E 37th Pl,74146,https://www.zillow.com/homedetails/11945-E-37th-Pl-Tulsa-OK-74146/22234885_zpid/,-95.84417,1.0,1.0,0.0,0.0,1972.0,2178.0,1.0,SingleFamily,"11945 E 37th Pl,Tulsa,OK"
1111,2067197888,165000,3,1368,36.15368,517 S 75th East Ave,74112,https://www.zillow.com/homedetails/517-S-75th-East-Ave-Tulsa-OK-74112/2067197888_zpid/,-95.893364,1.0,0.0,0.0,0.0,1954.0,7666.56,1.0,SingleFamily,"517 S 75th East Ave,Tulsa,OK"
1112,22145138,145000,3,1178,36.131016,2166 S 76th Pl E,74129,https://www.zillow.com/homedetails/2166-S-76th-Pl-E-Tulsa-OK-74129/22145138_zpid/,-95.89189,0.0,0.0,0.0,0.0,1956.0,7187.4,1.0,SingleFamily,"2166 S 76th Pl E,Tulsa,OK"
1113,22231412,135000,3,1148,36.115395,12430 E 33rd St,74146,https://www.zillow.com/homedetails/12430-E-33rd-St-Tulsa-OK-74146/22231412_zpid/,-95.877426,1.0,1.0,0.0,0.0,,7492.32,1.0,SingleFamily,"12430 E 33rd St,Tulsa,OK"
1114,22131301,120000,3,1896,36.178062,1527 N Yorktown Ave,74110,https://www.zillow.com/homedetails/1527-N-Yorktown-Ave-Tulsa-OK-74110/22131301_zpid/,-95.96205,2.0,0.0,0.0,0.0,1925.0,12545.28,1.0,SingleFamily,"1527 N Yorktown Ave,Tulsa,OK"
1115,22180738,104000,3,864,36.220814,4604 N Boston Pl,74126,https://www.zillow.com/homedetails/4604-N-Boston-Pl-Tulsa-OK-74126/22180738_zpid/,-95.99443,1.0,0.0,0.0,0.0,1948.0,10585.08,1.0,SingleFamily,"4604 N Boston Pl,Tulsa,OK"
1116,21781734,180000,3,2445,36.035156,4715 W 89th St,74132,https://www.zillow.com/homedetails/4715-W-89th-St-Tulsa-OK-74132/21781734_zpid/,-96.044945,2.0,1.0,0.0,0.0,1978.0,12545.28,2.0,SingleFamily,"4715 W 89th St,Tulsa,OK"
1117,22099127,187900,3,1720,36.185734,222 E Woodrow Pl,74106,https://www.zillow.com/homedetails/222-E-Woodrow-Pl-Tulsa-OK-74106/22099127_zpid/,-95.99255,2.0,0.0,0.0,0.0,1945.0,9191.16,1.0,SingleFamily,"222 E Woodrow Pl,Tulsa,OK"
1118,22101836,164700,3,1158,36.12085,3339 E 30th St,74114,https://www.zillow.com/homedetails/3339-E-30th-St-Tulsa-OK-74114/22101836_zpid/,-95.93859,1.0,0.0,0.0,0.0,1952.0,10454.4,1.0,SingleFamily,"3339 E 30th St,Tulsa,OK"
1119,22104524,190500,3,962,36.144993,1228 S Lewis Pl,74104,https://www.zillow.com/homedetails/1228-S-Lewis-Pl-Tulsa-OK-74104/22104524_zpid/,-95.95735,1.0,0.0,0.0,0.0,1923.0,20168.28,1.0,SingleFamily,"1228 S Lewis Pl,Tulsa,OK"
1120,22113304,190000,3,1630,36.141384,1388 S 101st East Ave,74128,https://www.zillow.com/homedetails/1388-S-101st-East-Ave-Tulsa-OK-74128/22113304_zpid/,-95.86502,1.0,1.0,0.0,0.0,1956.0,34543.08,1.0,SingleFamily,"1388 S 101st East Ave,Tulsa,OK"
1121,22138638,186000,3,1236,36.1338,10928 E 20th St,74128,https://www.zillow.com/homedetails/10928-E-20th-St-Tulsa-OK-74128/22138638_zpid/,-95.85374,2.0,0.0,0.0,0.0,1967.0,6185.52,1.0,SingleFamily,"10928 E 20th St,Tulsa,OK"
1122,22161146,179000,3,850,36.157707,210 S 189th Ave E,74108,https://www.zillow.com/homedetails/210-S-189th-Ave-E-Tulsa-OK-74108/22161146_zpid/,-95.7663,1.0,0.0,0.0,0.0,1967.0,17511.12,1.0,SingleFamily,"210 S 189th Ave E,Tulsa,OK"
1123,22182034,96000,3,1380,36.175014,9547 E Newton Pl,74115,https://www.zillow.com/homedetails/9547-E-Newton-Pl-Tulsa-OK-74115/22182034_zpid/,-95.869156,2.0,0.0,0.0,0.0,1954.0,27007.2,1.0,SingleFamily,"9547 E Newton Pl,Tulsa,OK"
1124,22219065,1000,3,3893,36.018936,9944 S Urbana Ave,74137,https://www.zillow.com/homedetails/9944-S-Urbana-Ave-Tulsa-OK-74137/22219065_zpid/,-95.92558,4.0,1.0,0.0,0.0,1989.0,8842.68,1.0,SingleFamily,"9944 S Urbana Ave,Tulsa,OK"
1125,22237693,185000,3,1158,36.096024,4618 S 91st Ave E,74145,https://www.zillow.com/homedetails/4618-S-91st-Ave-E-Tulsa-OK-74145/22237693_zpid/,-95.87518,1.0,1.0,0.0,0.0,1970.0,7753.68,1.0,SingleFamily,"4618 S 91st Ave E,Tulsa,OK"
1126,22243341,160000,3,2120,36.078083,8906 E 59th St S,74145,https://www.zillow.com/homedetails/8906-E-59th-St-S-Tulsa-OK-74145/22243341_zpid/,-95.87719,2.0,0.0,0.0,0.0,1978.0,15289.56,1.0,SingleFamily,"8906 E 59th St S,Tulsa,OK"
1127,22113972,168000,3,1288,36.143154,1332 S Darlington Ave,74112,https://www.zillow.com/homedetails/1332-S-Darlington-Ave-Tulsa-OK-74112/22113972_zpid/,-95.91829,1.0,1.0,0.0,0.0,1951.0,58413.96,1.0,SingleFamily,"1332 S Darlington Ave,Tulsa,OK"
1128,22131164,159900,3,1166,36.151646,4547 E 7th St,74112,https://www.zillow.com/homedetails/4547-E-7th-St-Tulsa-OK-74112/22131164_zpid/,-95.92491,2.0,0.0,0.0,0.0,2008.0,9016.92,1.0,SingleFamily,"4547 E 7th St,Tulsa,OK"
1129,22166422,145000,3,1073,36.15003,6729 E 9th St,74112,https://www.zillow.com/homedetails/6729-E-9th-St-Tulsa-OK-74112/22166422_zpid/,-95.901054,1.0,0.0,0.0,0.0,1957.0,3789.72,1.0,SingleFamily,"6729 E 9th St,Tulsa,OK"
1130,22103805,149500,3,1366,36.124023,7312 E 27th St,74129,https://www.zillow.com/homedetails/7312-E-27th-St-Tulsa-OK-74129/22103805_zpid/,-95.895325,1.0,1.0,0.0,0.0,1955.0,10497.96,1.0,SingleFamily,"7312 E 27th St,Tulsa,OK"
1131,22146377,200000,3,1483,36.14046,1505 S 75th East Ave,74112,https://www.zillow.com/homedetails/1505-S-75th-East-Ave-Tulsa-OK-74112/22146377_zpid/,-95.893166,2.0,0.0,0.0,0.0,1960.0,10280.16,1.0,SingleFamily,"1505 S 75th East Ave,Tulsa,OK"
1132,22190880,190000,3,1391,36.16963,1056 N Braden Ave,74115,https://www.zillow.com/homedetails/1056-N-Braden-Ave-Tulsa-OK-74115/22190880_zpid/,-95.92076,2.0,0.0,0.0,0.0,1954.0,18687.24,1.0,SingleFamily,"1056 N Braden Ave,Tulsa,OK"
